"","data_action"
"3337","First Party Collection/Use"
"3338","International and Specific Audiences"
"3339","International and Specific Audiences"
"3340","Other"
"3341","Other"
"3342","International and Specific Audiences"
"3343","Other"
"3344","International and Specific Audiences"
"3345","Policy Change"
"3346","Policy Change"
"3347","Policy Change"
"3348","Other"
"3349","Other"
"3350","Other"
"3351","Policy Change"
"3352","Other"
"3353","Policy Change"
"3354","User Choice/Control"
"3355","User Choice/Control"
"3356","User Choice/Control"
"3357","User Choice/Control"
"3358","Other"
"3359","Policy Change"
"3360","Other"
"3361","Other"
"3362","Other"
"3363","Policy Change"
"3364","Other"
"3365","Other"
"3366","Other"
"3367","Other"
"3368","User Choice/Control"
"3369","Other"
"3370","Third Party Sharing/Collection"
"3371","Third Party Sharing/Collection"
"3372","Third Party Sharing/Collection"
"3373","Other"
"3374","Other"
"3375","First Party Collection/Use"
"3376","Other"
"3377","First Party Collection/Use"
"3378","First Party Collection/Use"
"3379","First Party Collection/Use"
"3380","First Party Collection/Use"
"3381","First Party Collection/Use"
"3382","First Party Collection/Use"
"3383","First Party Collection/Use"
"3384","First Party Collection/Use"
"3385","First Party Collection/Use"
"3386","First Party Collection/Use"
"3387","First Party Collection/Use"
"3388","First Party Collection/Use"
"3389","Other"
"3390","Other"
"3391","First Party Collection/Use"
"3392","First Party Collection/Use"
"3393","First Party Collection/Use"
"3394","First Party Collection/Use"
"3395","First Party Collection/Use"
"3396","Other"
"3397","User Choice/Control"
"3398","Other"
"3399","First Party Collection/Use"
"3400","First Party Collection/Use"
"3401","First Party Collection/Use"
"3402","First Party Collection/Use"
"3403","First Party Collection/Use"
"3404","First Party Collection/Use"
"3405","Third Party Sharing/Collection"
"3406","Third Party Sharing/Collection"
"3407","Third Party Sharing/Collection"
"3408","Third Party Sharing/Collection"
"3409","Third Party Sharing/Collection"
"3410","Third Party Sharing/Collection"
"3411","Third Party Sharing/Collection"
"3412","First Party Collection/Use"
"3413","First Party Collection/Use"
"3414","First Party Collection/Use"
"3415","Third Party Sharing/Collection"
"3416","First Party Collection/Use"
"3417","First Party Collection/Use"
"3418","Third Party Sharing/Collection"
"3419","Other"
"3420","First Party Collection/Use"
"3421","First Party Collection/Use"
"3422","First Party Collection/Use"
"3423","First Party Collection/Use"
"3424","First Party Collection/Use"
"3425","First Party Collection/Use"
"3426","First Party Collection/Use"
"3427","First Party Collection/Use"
"3428","First Party Collection/Use"
"3429","First Party Collection/Use"
"3430","First Party Collection/Use"
"3431","First Party Collection/Use"
"3432","First Party Collection/Use"
"3433","First Party Collection/Use"
"3434","First Party Collection/Use"
"3435","First Party Collection/Use"
"3436","First Party Collection/Use"
"3437","First Party Collection/Use"
"3438","First Party Collection/Use"
"3439","First Party Collection/Use"
"3440","First Party Collection/Use"
"3441","Other"
"3442","First Party Collection/Use"
"3443","First Party Collection/Use"
"3444","First Party Collection/Use"
"3445","First Party Collection/Use"
"3446","First Party Collection/Use"
"3447","Third Party Sharing/Collection"
"3448","Third Party Sharing/Collection"
"3449","Third Party Sharing/Collection"
"3450","Third Party Sharing/Collection"
"3451","Third Party Sharing/Collection"
"3452","Third Party Sharing/Collection"
"3453","Other"
"3454","Other"
"3455","Other"
"3456","User Choice/Control"
"3457","User Choice/Control"
"3458","First Party Collection/Use"
"3459","First Party Collection/Use"
"3460","First Party Collection/Use"
"3461","First Party Collection/Use"
"3462","First Party Collection/Use"
"3463","First Party Collection/Use"
"3464","First Party Collection/Use"
"3465","First Party Collection/Use"
"3466","First Party Collection/Use"
"3467","First Party Collection/Use"
"3468","User Choice/Control"
"3469","User Choice/Control"
"3470","Third Party Sharing/Collection"
"3471","Third Party Sharing/Collection"
"3472","Third Party Sharing/Collection"
"3473","Third Party Sharing/Collection"
"3474","Third Party Sharing/Collection"
"3475","Other"
"3476","Third Party Sharing/Collection"
"3477","Third Party Sharing/Collection"
"3478","Third Party Sharing/Collection"
"3479","Third Party Sharing/Collection"
"3480","Third Party Sharing/Collection"
"3481","Third Party Sharing/Collection"
"3482","Third Party Sharing/Collection"
"3483","Third Party Sharing/Collection"
"3484","Third Party Sharing/Collection"
"3485","Third Party Sharing/Collection"
"3486","Third Party Sharing/Collection"
"3487","Third Party Sharing/Collection"
"3488","Third Party Sharing/Collection"
"3489","Third Party Sharing/Collection"
"3490","Third Party Sharing/Collection"
"3491","Third Party Sharing/Collection"
"3492","Third Party Sharing/Collection"
"3493","Third Party Sharing/Collection"
"3494","Third Party Sharing/Collection"
"3495","Third Party Sharing/Collection"
"3496","Data Security"
"3497","Third Party Sharing/Collection"
"3498","Third Party Sharing/Collection"
"3499","Third Party Sharing/Collection"
"3500","Third Party Sharing/Collection"
"3501","Third Party Sharing/Collection"
"3502","Third Party Sharing/Collection"
"3503","Third Party Sharing/Collection"
"3504","Third Party Sharing/Collection"
"3505","Third Party Sharing/Collection"
"3506","Other"
"3507","Other"
"3508","Third Party Sharing/Collection"
"3509","Other"
"3510","Third Party Sharing/Collection"
"3511","User Choice/Control"
"3512","Third Party Sharing/Collection"
"3513","Data Retention"
"3514","Third Party Sharing/Collection"
"3515","Third Party Sharing/Collection"
"3516","Third Party Sharing/Collection"
"3517","Third Party Sharing/Collection"
"3518","Third Party Sharing/Collection"
"3519","Other"
"3520","Third Party Sharing/Collection"
"3521","Other"
"3522","Third Party Sharing/Collection"
"3523","Third Party Sharing/Collection"
"3524","Third Party Sharing/Collection"
"3525","Third Party Sharing/Collection"
"3526","Third Party Sharing/Collection"
"3527","First Party Collection/Use"
"3528","First Party Collection/Use"
"3529","Data Retention"
"3530","Data Retention"
"3531","First Party Collection/Use"
"3532","First Party Collection/Use"
"3533","Third Party Sharing/Collection"
"3534","Third Party Sharing/Collection"
"3535","Other"
"3536","Other"
"3537","Data Retention"
"3538","Other"
"3539","International and Specific Audiences"
"3540","Other"
"3541","Third Party Sharing/Collection"
"3542","International and Specific Audiences"
"3543","Other"
"3544","International and Specific Audiences"
"3545","User Choice/Control"
"3546","Data Security"
"3547","Data Security"
"3548","Data Security"
"3549","Other"
"3550","Data Security"
"3551","Other"
"3552","User Access, Edit and Deletion"
"3553","User Choice/Control"
"3554","User Access, Edit and Deletion"
"3555","User Choice/Control"
"3556","User Choice/Control"
"3557","User Choice/Control"
"3558","User Choice/Control"
"3559","Other"
"3560","Data Retention"
"3561","Data Retention"
"3562","Data Retention"
"3563","Data Retention"
"3564","Data Retention"
"3565","Other"
"3566","International and Specific Audiences"
"3567","International and Specific Audiences"
"3568","Other"
"3569","Other"
"3570","Other"
"3571","Other"
"3572","Policy Change"
"3573","Policy Change"
"3574","Policy Change"
"3575","Policy Change"
"3576","First Party Collection/Use"
"3577","First Party Collection/Use"
"3578","First Party Collection/Use"
"3579","First Party Collection/Use"
"3580","First Party Collection/Use"
"3581","First Party Collection/Use"
"3582","First Party Collection/Use"
"3583","First Party Collection/Use"
"3584","First Party Collection/Use"
"3585","First Party Collection/Use"
"3586","First Party Collection/Use"
"3587","First Party Collection/Use"
"3588","First Party Collection/Use"
"3589","First Party Collection/Use"
"3590","First Party Collection/Use"
"3591","First Party Collection/Use"
"3592","First Party Collection/Use"
"3593","First Party Collection/Use"
"3594","First Party Collection/Use"
"3595","First Party Collection/Use"
"3596","First Party Collection/Use"
"3597","First Party Collection/Use"
"3598","First Party Collection/Use"
"3599","First Party Collection/Use"
"3600","First Party Collection/Use"
"3601","First Party Collection/Use"
"3602","First Party Collection/Use"
"3603","First Party Collection/Use"
"3604","First Party Collection/Use"
"3605","First Party Collection/Use"
"3606","First Party Collection/Use"
"3607","First Party Collection/Use"
"3608","First Party Collection/Use"
"3609","First Party Collection/Use"
"3610","First Party Collection/Use"
"3611","First Party Collection/Use"
"3612","First Party Collection/Use"
"3613","First Party Collection/Use"
"3614","First Party Collection/Use"
"3615","First Party Collection/Use"
"3616","First Party Collection/Use"
"3617","First Party Collection/Use"
"3618","Third Party Sharing/Collection"
"3619","First Party Collection/Use"
"3620","Third Party Sharing/Collection"
"3621","Third Party Sharing/Collection"
"3622","Third Party Sharing/Collection"
"3623","Third Party Sharing/Collection"
"3624","First Party Collection/Use"
"3625","Third Party Sharing/Collection"
"3626","Third Party Sharing/Collection"
"3627","Third Party Sharing/Collection"
"3628","Third Party Sharing/Collection"
"3629","Data Security"
"3630","Third Party Sharing/Collection"
"3631","Data Security"
"3632","Third Party Sharing/Collection"
"3633","Third Party Sharing/Collection"
"3634","Third Party Sharing/Collection"
"3635","First Party Collection/Use"
"3636","First Party Collection/Use"
"3637","First Party Collection/Use"
"3638","Third Party Sharing/Collection"
"3639","Third Party Sharing/Collection"
"3640","Third Party Sharing/Collection"
"3641","Third Party Sharing/Collection"
"3642","Third Party Sharing/Collection"
"3643","Third Party Sharing/Collection"
"3644","Third Party Sharing/Collection"
"3645","Other"
"3646","Third Party Sharing/Collection"
"3647","Other"
"3648","Data Security"
"3649","Data Security"
"3650","Other"
"3651","User Choice/Control"
"3652","User Choice/Control"
"3653","User Choice/Control"
"3654","User Choice/Control"
"3655","User Choice/Control"
"3656","Policy Change"
"3657","Policy Change"
"3658","Other"
"3659","Policy Change"
"3660","Data Retention"
"3661","Data Retention"
"3662","User Access, Edit and Deletion"
"3663","User Access, Edit and Deletion"
"3664","User Access, Edit and Deletion"
"3665","Other"
"3666","Other"
"3667","Policy Change"
"3668","Policy Change"
"3669","Policy Change"
"3670","Policy Change"
"3671","Policy Change"
"3672","Policy Change"
"3673","Policy Change"
"3674","User Choice/Control"
"3675","User Choice/Control"
"3676","Other"
"3677","Other"
"3678","Other"
"3679","Other"
"3680","Other"
"3681","Data Security"
"3682","Other"
"3683","First Party Collection/Use"
"3684","First Party Collection/Use"
"3685","Other"
"3686","First Party Collection/Use"
"3687","Other"
"3688","International and Specific Audiences"
"3689","Data Security"
"3690","First Party Collection/Use"
"3691","First Party Collection/Use"
"3692","First Party Collection/Use"
"3693","First Party Collection/Use"
"3694","First Party Collection/Use"
"3695","Other"
"3696","First Party Collection/Use"
"3697","First Party Collection/Use"
"3698","First Party Collection/Use"
"3699","First Party Collection/Use"
"3700","First Party Collection/Use"
"3701","First Party Collection/Use"
"3702","First Party Collection/Use"
"3703","First Party Collection/Use"
"3704","First Party Collection/Use"
"3705","First Party Collection/Use"
"3706","First Party Collection/Use"
"3707","First Party Collection/Use"
"3708","First Party Collection/Use"
"3709","First Party Collection/Use"
"3710","First Party Collection/Use"
"3711","First Party Collection/Use"
"3712","First Party Collection/Use"
"3713","First Party Collection/Use"
"3714","First Party Collection/Use"
"3715","First Party Collection/Use"
"3716","First Party Collection/Use"
"3717","First Party Collection/Use"
"3718","First Party Collection/Use"
"3719","First Party Collection/Use"
"3720","First Party Collection/Use"
"3721","First Party Collection/Use"
"3722","First Party Collection/Use"
"3723","First Party Collection/Use"
"3724","First Party Collection/Use"
"3725","First Party Collection/Use"
"3726","First Party Collection/Use"
"3727","First Party Collection/Use"
"3728","First Party Collection/Use"
"3729","First Party Collection/Use"
"3730","First Party Collection/Use"
"3731","First Party Collection/Use"
"3732","First Party Collection/Use"
"3733","First Party Collection/Use"
"3734","First Party Collection/Use"
"3735","First Party Collection/Use"
"3736","International and Specific Audiences"
"3737","Other"
"3738","Third Party Sharing/Collection"
"3739","Third Party Sharing/Collection"
"3740","Third Party Sharing/Collection"
"3741","Third Party Sharing/Collection"
"3742","Third Party Sharing/Collection"
"3743","Third Party Sharing/Collection"
"3744","Other"
